train_mean_cost_mean,train_mean_cost_std,train_mean_cost_min,train_mean_cost_max,train_total_regret_mean,train_total_regret_std,train_total_regret_min,train_total_regret_max,train_mean_regret_mean,train_mean_regret_std,train_mean_regret_min,train_mean_regret_max,s1_volatility_mean,s1_volatility_std,s1_volatility_min,s1_volatility_max,s2_volatility_mean,s2_volatility_std,s2_volatility_min,s2_volatility_max,cum_reward_retailer_mean,cum_reward_retailer_std,cum_reward_retailer_min,cum_reward_retailer_max,cum_reward_supplier_mean,cum_reward_supplier_std,cum_reward_supplier_min,cum_reward_supplier_max,final_mean_cost_last_window_mean,final_mean_cost_last_window_std,final_mean_cost_last_window_min,final_mean_cost_last_window_max,final_cost_gap_last_window_mean,final_cost_gap_last_window_std,final_cost_gap_last_window_min,final_cost_gap_last_window_max,pair_volatility_mean,pair_volatility_std,pair_volatility_min,pair_volatility_max,s1_convergence_rate,s2_convergence_rate,both_convergence_rate,pair_convergence_rate,converged_to_central_rate,converged_to_ne_rate,ne_exists,delta1_mean,delta1_std,delta2_mean,delta2_std,distance_to_central_mean,distance_to_central_std,distance_to_nash_mean,distance_to_nash_std,s1_conv_time_mean,s1_conv_time_std,s1_conv_time_min,s1_conv_time_max,s1_final_mode,s2_conv_time_mean,s2_conv_time_std,s2_conv_time_min,s2_conv_time_max,s2_final_mode,pair_conv_time_mean,pair_conv_time_std,pair_conv_time_min,pair_conv_time_max,n_seeds,treatment,treatment_full,agent_retailer,agent_supplier,s_lower,s_upper,s_step,init_mode,prior_knowledge,cooperation_mode,cooperation_beta,s1_opt,s2_opt,ctot_opt,ne_count
125.33041269841272,12.564870164207278,96.99047619047619,155.9936507936508,23186.930000000037,3957.9341017253473,14259.849999999878,32845.8500000001,73.6093015873016,12.56487016420728,45.26936507936509,104.2725396825397,0.645031847133758,0.047558808194975266,0.5509554140127388,0.7611464968152867,0.6484713375796177,0.04913503942683522,0.5031847133757962,0.7547770700636943,-46747.82,3974.994305354411,-55959.0,-37945.0,-46747.82,3974.994305354411,-55959.0,-37945.0,99.90919999999998,28.1237897048033,50.98,169.96,48.1880888888889,28.1237897048033,-0.7411111111111097,118.23888888888891,0.7927070063694266,0.0379023575180246,0.7165605095541401,0.8885350318471338,0.43,0.42,0.28,0.07,0.03,0.03,True,12.3372619047619,12.699298062203109,12.774940476190471,20.571885902361753,12.5,10.824905146400656,10.214285714285714,9.355506945328063,300.5348837209302,11.25879260991119,273.0,315.0,40,300.5238095238095,12.152283922586214,271.0,315.0,40,309.0,3.927922024247863,301.0,314.0,100,greedy_greedy_s0-40-1,greedy_greedy_s0-40-1_init=benchmark_coop=cooperative,greedy,greedy,0,40,1,benchmark,none,cooperative,0.5,40,40,51.72111111111111,2
130.67288888888888,13.928926432739065,104.08571428571429,163.21904761904761,24869.810000000056,4387.611826312841,16494.84999999992,35121.85000000012,78.95177777777779,13.928926432739068,52.3646031746032,111.49793650793653,0.660828025477707,0.05075497999846729,0.554140127388535,0.7834394904458599,0.6526751592356687,0.044615140605270324,0.5382165605095541,0.7738853503184714,-26347.2,3094.09898031721,-32997.0,-20340.0,-22091.22,1622.3469331804465,-26247.0,-19398.0,108.32459999999999,33.77047904368548,53.14,215.14,56.6034888888889,33.770479043685484,1.418888888888894,163.4188888888889,0.8129617834394903,0.04131999616218663,0.697452229299363,0.9171974522292994,0.34,0.32,0.21,0.03,0.0,0.01,True,4.334999999999998,4.5494117882477525,3.5278571428571417,2.8092482915753143,13.142857142857142,7.802842670559019,7.904761904761905,5.789191586830146,303.52941176470586,9.527777637665709,276.0,315.0,40,302.3125,12.36789568803036,272.0,315.0,26,307.3333333333333,6.128258770283412,300.0,315.0,100,greedy_greedy_s0-40-1,greedy_greedy_s0-40-1_init=benchmark,greedy,greedy,0,40,1,benchmark,none,competitive,0.5,40,40,51.72111111111111,8
133.72939682539683,12.28045925198473,96.11746031746031,158.62857142857143,25832.61000000007,3868.344664375228,13984.849999999873,33675.850000000086,82.00828571428573,12.28045925198473,44.396349206349214,106.90746031746033,0.6607006369426752,0.047663191125088364,0.5700636942675159,0.7738853503184714,0.6486624203821656,0.04068433631894279,0.5254777070063694,0.7547770700636943,-26807.01,2642.6132766449196,-32070.0,-19377.0,-22567.06,1443.1292722414025,-25702.0,-18596.0,115.52039999999997,32.000591492033394,59.76,196.38,63.79928888888889,32.0005914920334,8.038888888888891,144.6588888888889,0.8120700636942678,0.04066592172001404,0.7229299363057324,0.9299363057324841,0.35,0.28,0.15,0.02,0.0,0.01,True,7.154333333333333,8.957455156956629,2.846888888888889,3.1473559665609665,12.8,7.485096303099023,8.2,6.7052218456960855,301.34285714285716,12.123042657076901,274.0,315.0,35,300.5357142857143,13.712564996218257,268.0,315.0,31,305.0,3.0,302.0,308.0,100,greedy_greedy_s0-40-1,greedy_greedy_s0-40-1,greedy,greedy,0,40,1,random,none,competitive,0.5,40,40,51.72111111111111,8
130.51390476190477,12.48409345623607,101.1015873015873,165.97460317460317,24819.730000000065,3932.489438714396,15554.849999999857,35989.85000000011,78.79279365079367,12.48409345623607,49.380476190476195,114.25349206349208,0.6500318471337578,0.049000921500755905,0.5477707006369427,0.7898089171974523,0.6514968152866242,0.0462743456300726,0.5286624203821656,0.7611464968152867,-48361.73,3907.5493569627497,-58599.0,-39007.0,-48361.73,3907.5493569627497,-58599.0,-39007.0,107.4944,27.48067482140859,57.84,184.48,55.773288888888885,27.48067482140859,6.118888888888897,132.7588888888889,0.7951910828025477,0.036638587593628924,0.7101910828025477,0.8885350318471338,0.35,0.37,0.19,0.03,0.0,0.0,True,13.071140350877194,12.64535769997902,13.47078947368421,12.223718476084896,15.052631578947368,6.244776210313506,11.0,5.448321808255804,300.0857142857143,14.100398025935151,263.0,315.0,39,299.5405405405405,14.179533394134783,263.0,315.0,27,312.6666666666667,2.6246692913372702,309.0,315.0,100,greedy_greedy_s0-40-1,greedy_greedy_s0-40-1_coop=cooperative,greedy,greedy,0,40,1,random,none,cooperative,0.5,40,40,51.72111111111111,2
120.28768253968255,9.205084256612093,95.3873015873016,139.82857142857142,21598.470000000005,2899.601540832852,13754.8499999999,27753.850000000068,68.56657142857144,9.205084256612095,43.666190476190486,88.10746031746034,0.6570063694267516,0.04187504522447986,0.5668789808917197,0.7611464968152867,0.6592038216560507,0.042092454395378974,0.5700636942675159,0.7484076433121019,-24133.53,2162.4670284422837,-29715.0,-18813.0,-20328.11,1067.0935375589152,-23115.0,-17851.0,106.26539999999999,24.663125163693266,55.12,165.44,54.544288888888886,24.66312516369327,3.398888888888891,113.7188888888889,0.8247770700636944,0.03640332174054712,0.7420382165605095,0.9044585987261147,0.22,0.14,0.06,0.02,0.0,0.0,True,2.881666666666666,2.9878108857303687,2.4586111111111095,1.5435104340031311,9.5,4.0722639076235385,4.166666666666667,2.1921577396609844,305.27272727272725,9.900329738226898,280.0,315.0,39,302.14285714285717,10.622463682869316,281.0,315.0,34,312.0,3.0,309.0,315.0,100,greedy_greedy_s0-40-1,greedy_greedy_s0-40-1_init=benchmark_prior=demand_known,greedy,greedy,0,40,1,benchmark,demand_known,competitive,0.5,40,40,51.72111111111111,8
109.66968253968254,9.971103256469245,88.71746031746032,137.83809523809524,18253.79999999994,3140.897525787866,11653.849999999884,27126.850000000053,57.94857142857145,9.971103256469245,36.996349206349215,86.11698412698415,0.625732484076433,0.043362372475075746,0.5286624203821656,0.7420382165605095,0.6406050955414012,0.0404279889301542,0.5254777070063694,0.7643312101910829,-41014.31,3289.536771933094,-49587.0,-34334.0,-41014.31,3289.536771933094,-49587.0,-34334.0,90.08160000000002,21.537345552319117,53.16,163.38,38.36048888888889,21.537345552319113,1.43888888888889,111.6588888888889,0.7896496815286623,0.033590423703289525,0.7006369426751592,0.8694267515923567,0.34,0.45,0.24,0.07,0.01,0.01,True,6.959930555555556,8.424928803402416,12.134097222222222,13.229781534085207,11.041666666666666,6.735967925167762,7.25,6.0913189595248305,300.4117647058824,13.159916071292407,271.0,315.0,39,301.4888888888889,9.597736358635643,276.0,315.0,36,305.85714285714283,4.763809143009447,298.0,313.0,100,greedy_greedy_s0-40-1,greedy_greedy_s0-40-1_prior=demand_known_coop=cooperative,greedy,greedy,0,40,1,random,demand_known,cooperative,0.5,40,40,51.72111111111111,2
120.28768253968255,9.205084256612093,95.3873015873016,139.82857142857142,21598.470000000005,2899.601540832852,13754.8499999999,27753.850000000068,68.56657142857144,9.205084256612095,43.666190476190486,88.10746031746034,0.6570063694267516,0.04187504522447986,0.5668789808917197,0.7611464968152867,0.6592038216560507,0.042092454395378974,0.5700636942675159,0.7484076433121019,-24133.53,2162.4670284422837,-29715.0,-18813.0,-20328.11,1067.0935375589152,-23115.0,-17851.0,106.26539999999999,24.663125163693266,55.12,165.44,54.544288888888886,24.66312516369327,3.398888888888891,113.7188888888889,0.8247770700636944,0.03640332174054712,0.7420382165605095,0.9044585987261147,0.22,0.14,0.06,0.02,0.0,0.0,True,2.881666666666666,2.9878108857303687,2.4586111111111095,1.5435104340031311,9.5,4.0722639076235385,4.166666666666667,2.1921577396609844,305.27272727272725,9.900329738226898,280.0,315.0,39,302.14285714285717,10.622463682869316,281.0,315.0,34,312.0,3.0,309.0,315.0,100,greedy_greedy_s0-40-1,greedy_greedy_s0-40-1_prior=demand_known,greedy,greedy,0,40,1,random,demand_known,competitive,0.5,40,40,51.72111111111111,8
109.66968253968254,9.971103256469245,88.71746031746032,137.83809523809524,18253.79999999994,3140.897525787866,11653.849999999884,27126.850000000053,57.94857142857145,9.971103256469245,36.996349206349215,86.11698412698415,0.625732484076433,0.043362372475075746,0.5286624203821656,0.7420382165605095,0.6406050955414012,0.0404279889301542,0.5254777070063694,0.7643312101910829,-41014.31,3289.536771933094,-49587.0,-34334.0,-41014.31,3289.536771933094,-49587.0,-34334.0,90.08160000000002,21.537345552319117,53.16,163.38,38.36048888888889,21.537345552319113,1.43888888888889,111.6588888888889,0.7896496815286623,0.033590423703289525,0.7006369426751592,0.8694267515923567,0.34,0.45,0.24,0.07,0.01,0.01,True,6.959930555555556,8.424928803402416,12.134097222222222,13.229781534085207,11.041666666666666,6.735967925167762,7.25,6.0913189595248305,300.4117647058824,13.159916071292407,271.0,315.0,39,301.4888888888889,9.597736358635643,276.0,315.0,36,305.85714285714283,4.763809143009447,298.0,313.0,100,greedy_greedy_s0-40-1,greedy_greedy_s0-40-1_init=benchmark_prior=demand_known_coop=cooperative,greedy,greedy,0,40,1,benchmark,demand_known,cooperative,0.5,40,40,51.72111111111111,2
115.26326984126985,11.678870613063332,85.23809523809524,140.68253968253967,21124.65000000007,3678.84424311495,11666.720000000065,29131.720000000078,67.06238095238095,11.67887061306333,37.03720634920634,92.48165079365079,0.7153184713375796,0.05597290273336919,0.5700636942675159,0.8503184713375797,0.702420382165605,0.0462591430174669,0.5955414012738853,0.8089171974522293,-22835.88,2767.3174060089314,-29982.0,-15678.0,-19579.46,1364.48737934801,-23189.0,-16156.0,102.928,34.69358038600225,48.52,190.28,54.7271111111111,34.693580386002246,0.3191111111111127,142.0791111111111,0.8466242038216563,0.04472163169829882,0.7579617834394905,0.945859872611465,0.2,0.27,0.12,0.02,0.0,0.0,True,5.665833333333332,4.452612451009956,3.7244444444444436,2.3049141678135547,14.75,9.399689711190826,10.083333333333334,6.885471822774545,302.55,13.028718279247581,261.0,315.0,33,301.77777777777777,9.562013321755627,271.0,315.0,32,314.5,0.5,314.0,315.0,100,greedy_greedy_s0-60-1,greedy_greedy_s0-60-1,greedy,greedy,0,60,1,random,none,competitive,0.5,42,45,48.20088888888889,11
113.7248253968254,13.854717829081066,83.5936507936508,148.43174603174603,20640.04000000007,4364.236116160536,11148.720000000076,31572.720000000078,65.5239365079365,13.854717829081064,35.3927619047619,100.23085714285715,0.708248407643312,0.05754186625285045,0.5605095541401274,0.802547770700637,0.7056050955414014,0.04944480594811621,0.6019108280254777,0.8248407643312102,-22582.65,3252.563513215384,-32865.0,-14856.0,-19354.07,1636.7741093687914,-22730.0,-15930.0,102.79220000000001,37.35151058739124,47.72,196.54,54.59131111111111,37.35151058739123,-0.4808888888888916,148.3391111111111,0.8438853503184716,0.048462046198037054,0.7070063694267515,0.9331210191082803,0.26,0.26,0.14,0.03,0.01,0.0,True,7.043928571428571,5.434326472451178,3.8829761904761892,1.9850963731124525,14.714285714285714,7.496938150515386,10.785714285714286,6.025879561507674,297.8076923076923,14.816880266385443,260.0,314.0,42,300.8076923076923,9.063957493489639,279.0,314.0,45,312.0,2.160246899469287,309.0,314.0,100,greedy_greedy_s0-60-1,greedy_greedy_s0-60-1_init=benchmark,greedy,greedy,0,60,1,benchmark,none,competitive,0.5,42,45,48.20088888888889,11
